Distinct Area Name
Amber Road
Ang Mo Kio
Anson
Ardmore
Balestier
Bedok
Bishan
BoonLay
Braddell
Bras Basah
Bukit Batok
Bukit Panjang
Bukit Timah
Buona Vista
Cairnhill
Choa Chu Kang
Clementi
Clementi New Town
Clementi Park
Dairy Farm
Dover
Eastwood
Eunos
Geylang
Golden Mile
Harbourfront
Hillview
Holland Road
Hong Leong Garden
Hougang
Joo Chiat
Jurong
Katong
Kembangan
Kew Drive
Kovan
Kranji
Little India
Lorong Chuan
Macpherson
Middle Road
Novena
Orchard
Pasir Panjang
Pasir Ris
Pioneer
Punggol
Potong Pasir
Queenstown
River Valley
Seletar
Sembawang
Serangoon
Serangoon Garden
Simei
Tampines
Tanglin
Tanjong Pagar
Tankahkee
Telok Blangah
Thomson
Tiong Bahru
Toa Payoh
Ulu Pandan
Upper Bukit Timah
Upper East Coast
Watten Estate
Woodgrove
Woodlands
Yio Chu Kang
Yishun
