University COP
AAA/A
CCC/B
ABB/B
BBB/B
BBC/C
BBC/B
BBB/C
AAA/B
ABB/C
AAA/C
BBC/D
AAB/C
BCC/D
CCD/C
ABC/D
CCC/D
CCD/D
AAC/B
ABC/B
ABC/C
BCC/C
BCC/B
AAC/C
AAA/A
AAB/B
AAA/B
AAB/C
AAA/C
